0.035	0.1202
0.0357	0.1797
0.0363	0.1611
0.037	0.1681
0.0376	0.1669
0.0383	0.1705
0.039	0.1783
0.0396	0.1971
0.0403	0.22
0.0409	0.2549
0.0416	0.3025
0.0423	0.3459
0.0429	0.3703
0.0436	0.3804
0.0442	0.3771
0.0449	0.3498
0.0456	0.3353
0.0462	0.3368
0.0469	0.3288
0.0475	0.3103
0.0482	0.288
0.0489	0.2608
0.0495	0.2364
0.0502	0.2143
0.0508	0.1981
0.0515	0.1851
0.0522	0.1755
0.0528	0.1671
0.0535	0.1526
0.0542	0.1341
0.0548	0.1149
0.0555	0.0966
0.0561	0.0787
0.0568	0.062
0.0575	0.0472
0.0581	0.0364
0.0588	0.0273
0.0594	0.0202
0.0601	0.0148
0.0608	0.0111
0.0614	0.0074
0.0621	0.0044
0.0627	0.0027
0.0634	0.0006
0.0641	0
0.0647	0
0.0654	0
0.066	0
0.0667	0
0.0674	0
0.068	0
0.0687	0
0.0693	0
0.07	0
